2025-12-15 16:51:33.068 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-12-15 16:51:33.076 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:51:33.077 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-15 16:51:33.077 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.49]
2025-12-15 16:51:33.098 INFO  [main] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-12-15 16:51:33.098 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 655 ms
2025-12-15 16:51:33.706 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-127.0.0.1-8080"]
2025-12-15 16:51:33.716 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-12-15 16:51:33.722 INFO  [main] com.flownote.Application - Started Application in 1.618 seconds (process running for 1.983)
2025-12-15 16:51:42.213 INFO  [http-nio-127.0.0.1-8080-exec-1] o.a.c.c.C.[.[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-15 16:51:42.213 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-15 16:51:42.214 INFO  [http-nio-127.0.0.1-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-15 16:51:42.233 INFO  [http-nio-127.0.0.1-8080-exec-1] c.flownote.controller.pingController - ping request: Mon Dec 15 16:51:42 CST 2025
2025-12-15 16:56:25.044 INFO  [SpringApplicationShutdownHook] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-12-15 16:56:25.049 INFO  [tomcat-shutdown] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-12-15 16:56:27.001 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
